Thickness (m),Zenith θ (°),Julia Flux (m⁻²s⁻¹sr⁻¹),Julia σ (%),C Flux (m⁻²s⁻¹sr⁻¹),C σ (%),Diff (%)
700.0,15.0,0.0013725036238120259,2.186187936195352,0.0014815,2.4219304758690514,-7.3571634281454
700.0,30.0,0.0009573156740898014,2.2140107489046,0.00106522,2.4916636938848313,-10.129769053359738
700.0,45.0,0.000520332299235486,2.164211239336024,0.000570584,2.5300218723273,-8.807064475084122
700.0,60.0,0.0001392978973111808,2.1670721925213754,0.000163266,2.6847169649528992,-14.680400505199612
700.0,75.0,3.100352827345948e-6,2.434107069905923,4.82151e-6,3.3586988308641903,-35.697471801449176
750.0,0.0,0.0011897313560377872,2.1568702949133156,0.00121495,2.422741676612206,-2.0756939760659114
750.0,15.0,0.0010591924701650792,2.187543807959665,0.00114722,2.4352696082704273,-7.673116737410505
750.0,30.0,0.0007308246896513362,2.21488781062949,0.000761099,2.5107246232093328,-3.9777099100989246
750.0,45.0,0.0003861843314353398,2.1652996032093146,0.000416689,2.5832455380391615,-7.320728064494183
750.0,60.0,9.671850040804788e-5,2.1676114569268314,0.000112128,2.7766748715753424,-13.742775749101133
750.0,75.0,1.6974454930819487e-6,2.636405780590092,2.96427e-6,3.6109733593768447,-42.736474980958256
800.0,0.0,0.0009292921660654757,2.1586870054461187,0.00099111,2.471128330861358,-6.237232389394137
800.0,15.0,0.0008253644344244344,2.189308425084574,0.000867617,2.4892896289491793,-4.869955933962284
800.0,30.0,0.0005633480915079149,2.214683029386059,0.000625148,2.521594886330917,-9.885644438130656
800.0,45.0,0.0002892032426122846,2.165991435896061,0.000320999,2.5860952837859315,-9.905251227485245
800.0,60.0,6.763434107545238e-5,2.1678394220651636,8.28407e-5,2.7531998160324576,-18.356144895622094
800.0,75.0,9.367068130513557e-7,2.97766825657625,1.66954e-6,3.6857457742851327,-43.894317413697436
