azimuth_deg,intensity_cm2_s_deg
229.0,4.077294685990e-11
230.0,4.038647342995e-11
231.0,4.038647342995e-11
232.0,3.768115942029e-11
233.0,3.468599033816e-11
234.0,3.468599033816e-11
235.0,3.536231884058e-11
236.0,3.294685990338e-11
237.0,3.120772946860e-11
238.0,3.120772946860e-11
239.0,2.830917874396e-11
240.0,2.782608695652e-11
241.0,2.782608695652e-11
242.0,2.618357487923e-11
243.0,2.608695652174e-11
244.0,2.608695652174e-11
245.0,2.454106280193e-11
246.0,2.454106280193e-11
247.0,2.251207729469e-11
248.0,2.251207729469e-11
249.0,2.009661835749e-11
250.0,2.057971014493e-11
251.0,2.057971014493e-11
252.0,2.106280193237e-11
253.0,1.874396135266e-11
254.0,1.874396135266e-11
255.0,1.835748792271e-11
256.0,1.777777777778e-11
257.0,1.777777777778e-11
258.0,1.864734299517e-11
259.0,1.806763285024e-11
260.0,1.874396135266e-11
261.0,1.874396135266e-11
262.0,1.594202898551e-11
263.0,1.700483091787e-11
264.0,1.700483091787e-11
265.0,1.594202898551e-11
266.0,1.719806763285e-11
267.0,1.719806763285e-11
268.0,1.652173913043e-11
269.0,1.893719806763e-11
270.0,1.893719806763e-11
271.0,1.594202898551e-11
272.0,1.729468599034e-11
273.0,1.826086956522e-11
274.0,1.826086956522e-11
275.0,1.903381642512e-11
276.0,1.913043478261e-11
277.0,1.913043478261e-11
278.0,1.971014492754e-11
279.0,2.144927536232e-11
280.0,2.144927536232e-11
281.0,2.106280193237e-11
282.0,2.164251207729e-11
283.0,2.260869565217e-11
284.0,2.260869565217e-11
285.0,2.357487922705e-11
286.0,2.434782608696e-11
287.0,2.434782608696e-11
288.0,2.512077294686e-11
289.0,2.589371980676e-11
290.0,2.589371980676e-11
291.0,2.714975845411e-11
292.0,2.666666666667e-11
293.0,2.666666666667e-11
294.0,2.724637681159e-11
295.0,2.811594202899e-11
296.0,2.850241545894e-11
297.0,2.850241545894e-11
298.0,3.149758454106e-11
299.0,3.043478260870e-11
300.0,3.043478260870e-11
301.0,3.062801932367e-11
302.0,3.323671497585e-11
303.0,3.323671497585e-11
304.0,3.246376811594e-11
305.0,3.458937198068e-11
306.0,3.458937198068e-11
307.0,3.545893719807e-11
308.0,3.603864734300e-11
309.0,3.565217391304e-11
310.0,3.565217391304e-11
311.0,3.516908212560e-11
312.0,3.681159420290e-11
313.0,3.681159420290e-11
314.0,3.690821256039e-11
315.0,4.000000000000e-11
316.0,4.000000000000e-11
317.0,4.077294685990e-11
318.0,4.318840579710e-11
319.0,4.531400966184e-11
320.0,4.531400966184e-11
321.0,4.666666666667e-11
322.0,4.917874396135e-11
323.0,4.917874396135e-11
324.0,5.217391304348e-11
325.0,5.256038647343e-11
326.0,5.256038647343e-11
327.0,5.458937198068e-11
328.0,5.642512077295e-11
329.0,5.642512077295e-11
330.0,5.642512077295e-11
331.0,5.855072463768e-11
332.0,5.816425120773e-11
333.0,5.816425120773e-11
334.0,6.048309178744e-11
335.0,6.106280193237e-11
336.0,6.106280193237e-11
337.0,6.193236714976e-11
338.0,6.415458937198e-11
339.0,6.415458937198e-11
340.0,6.521739130435e-11
341.0,6.763285024155e-11
342.0,6.763285024155e-11
343.0,6.676328502415e-11
344.0,7.120772946860e-11
345.0,6.908212560386e-11
346.0,6.908212560386e-11
347.0,7.671497584541e-11
348.0,7.516908212560e-11
349.0,7.516908212560e-11
350.0,7.468599033816e-11
351.0,7.951690821256e-11
352.0,7.951690821256e-11
353.0,8.077294685990e-11
354.0,8.154589371981e-11
355.0,8.318840579710e-11
356.0,8.318840579710e-11
357.0,8.405797101449e-11
358.0,8.637681159420e-11
359.0,8.637681159420e-11
360.0,0.000000000000e+00
