fig7_lvd_azimuth_deg,rock_int_profile_raw_solid_weighted,fit_scale_to_cm2_s_deg,scaled_profile_cm2_s_deg,paper_fig7_curve_cm2_s_deg
31,,1.605955809938678e-13,,1.097584541063e-10
32,650.8402969515181,1.605955809938678e-13,1.045220756231505e-10,1.097584541063e-10
33,,1.605955809938678e-13,,1.124637681159e-10
34,633.7635302202922,1.605955809938678e-13,1.0177962234845252e-10,1.089855072464e-10
35,,1.605955809938678e-13,,1.089855072464e-10
36,717.642441309396,1.605955809938678e-13,1.1525020480794012e-10,1.128502415459e-10
37,,1.605955809938678e-13,,1.110144927536e-10
38,618.6436351302618,1.605955809938678e-13,9.935143401190277e-11,1.110144927536e-10
39,,1.605955809938678e-13,,1.089855072464e-10
40,696.3816065182274,1.605955809938678e-13,1.1183580869223777e-10,1.169082125604e-10
41,,1.605955809938678e-13,,1.169082125604e-10
42,696.3816065182274,1.605955809938678e-13,1.1183580869223777e-10,1.184541062802e-10
43,,1.605955809938678e-13,,1.15845410628e-10
44,690.8764825537769,1.605955809938678e-13,1.1095171011072357e-10,1.190338164251e-10
45,,1.605955809938678e-13,,1.190338164251e-10
46,690.8764825537769,1.605955809938678e-13,1.1095171011072357e-10,1.191304347826e-10
47,,1.605955809938678e-13,,1.2038647343e-10
48,629.8987957158643,1.605955809938678e-13,1.0115896306532688e-10,1.2038647343e-10
49,,1.605955809938678e-13,,1.202898550725e-10
50,739.4855060698105,1.605955809938678e-13,1.187581044838256e-10,1.1961352657e-10
51,,1.605955809938678e-13,,1.1961352657e-10
52,661.7361520904469,1.605955809938678e-13,1.0627190180961179e-10,1.189371980676e-10
53,,1.605955809938678e-13,,1.24154589372e-10
54,694.4790533898616,1.605955809938678e-13,1.1153026706721617e-10,1.220289855072e-10
55,,1.605955809938678e-13,,1.220289855072e-10
56,733.8250097701151,1.605955809938678e-13,1.1784905379186235e-10,1.246376811594e-10
57,,1.605955809938678e-13,,1.263768115942e-10
58,688.6301377025711,1.605955809938678e-13,1.1059095705423161e-10,1.263768115942e-10
59,,1.605955809938678e-13,,1.290821256039e-10
60,720.9789484330348,1.605955809938678e-13,1.1578603310795109e-10,1.236714975845e-10
61,,1.605955809938678e-13,,1.236714975845e-10
62,655.336190910253,1.605955809938678e-13,1.0524409632554034e-10,1.257004830918e-10
63,,1.605955809938678e-13,,1.263768115942e-10
64,691.0979280509808,1.605955809938678e-13,1.1098727327900552e-10,1.263768115942e-10
65,,1.605955809938678e-13,,1.307246376812e-10
66,670.8091698032629,1.605955809938678e-13,1.0772898836056912e-10,1.262801932367e-10
67,,1.605955809938678e-13,,1.254106280193e-10
68,682.9452641639044,1.605955809938678e-13,1.0967799148541276e-10,1.254106280193e-10
69,,1.605955809938678e-13,,1.298550724638e-10
70,703.1967657167606,1.605955809938678e-13,1.1293029314329192e-10,1.265700483092e-10
71,,1.605955809938678e-13,,1.265700483092e-10
72,638.8478125107587,1.605955809938678e-13,1.0259613561682682e-10,1.269565217391e-10
73,,1.605955809938678e-13,,1.251207729469e-10
74,691.8447797669952,1.605955809938678e-13,1.1110721436425512e-10,1.251207729469e-10
75,,1.605955809938678e-13,,1.256038647343e-10
76,646.2090437414324,1.605955809938678e-13,1.0377831682314707e-10,1.246376811594e-10
77,,1.605955809938678e-13,,1.246376811594e-10
78,672.3909157875446,1.605955809938678e-13,1.0798300977589957e-10,1.229951690821e-10
79,,1.605955809938678e-13,,1.233816425121e-10
80,630.8941827277627,1.605955809938678e-13,1.0131881782081644e-10,1.210628019324e-10
81,,1.605955809938678e-13,,1.210628019324e-10
82,636.2923277619886,1.605955809938678e-13,1.0218573605887713e-10,1.213526570048e-10
83,,1.605955809938678e-13,,1.200966183575e-10
84,632.3906093462281,1.605955809938678e-13,1.0155913732302359e-10,1.200966183575e-10
85,,1.605955809938678e-13,,1.199033816425e-10
86,587.0676782980192,1.605955809938678e-13,9.428047487899148e-11,1.188405797101e-10
87,,1.605955809938678e-13,,1.188405797101e-10
88,622.0862445933692,1.605955809938678e-13,9.990430187876549e-11,1.161352657005e-10
89,,1.605955809938678e-13,,1.159420289855e-10
90,578.233615945301,1.605955809938678e-13,9.286176350292065e-11,1.140096618357e-10
91,,1.605955809938678e-13,,1.140096618357e-10
92,584.496095828243,1.605955809938678e-13,9.386749009818412e-11,1.090821256039e-10
93,,1.605955809938678e-13,,1.099516908213e-10
94,559.8091894172723,1.605955809938678e-13,8.990288202017303e-11,1.099516908213e-10
95,,1.605955809938678e-13,,1.049275362319e-10
96,564.5541251409645,1.605955809938678e-13,9.066489772949795e-11,1.055072463768e-10
97,,1.605955809938678e-13,,1.055072463768e-10
98,566.5875336168334,1.605955809938678e-13,9.099145414507797e-11,1.016425120773e-10
99,,1.605955809938678e-13,,9.951690821256e-11
100,539.074596486807,1.605955809938678e-13,8.657299802183362e-11,9.951690821256e-11
101,,1.605955809938678e-13,,9.951690821256e-11
102,545.6026183003283,1.605955809938678e-13,8.762136947771672e-11,9.536231884058e-11
103,,1.605955809938678e-13,,9.6038647343e-11
104,516.6485585049525,1.605955809938678e-13,8.297147542274715e-11,9.6038647343e-11
105,,1.605955809938678e-13,,9.053140096618e-11
106,527.3143167482876,1.605955809938678e-13,8.46843490645757e-11,9.130434782609e-11
107,,1.605955809938678e-13,,9.130434782609e-11
108,496.11797187044004,1.605955809938678e-13,7.967435393403268e-11,8.734299516908e-11
109,,1.605955809938678e-13,,8.531400966184e-11
110,511.023230976742,1.605955809938678e-13,8.20680726800734e-11,8.531400966184e-11
111,,1.605955809938678e-13,,8.425120772947e-11
112,514.1737605432554,1.605955809938678e-13,8.257403380624596e-11,7.768115942029e-11
113,,1.605955809938678e-13,,7.768115942029e-11
114,464.71643074310185,1.605955809938678e-13,7.463140519258497e-11,7.768115942029e-11
115,,1.605955809938678e-13,,7.391304347826e-11
116,473.29772599170843,1.605955809938678e-13,7.600952328871486e-11,7.053140096618e-11
117,,1.605955809938678e-13,,7.053140096618e-11
118,458.1702574647423,1.605955809938678e-13,7.358011869166029e-11,6.579710144928e-11
119,,1.605955809938678e-13,,6.589371980676e-11
120,435.5219576843981,1.605955809938678e-13,6.994290182991263e-11,6.589371980676e-11
121,,1.605955809938678e-13,,6.444444444444e-11
122,407.22679495319045,1.605955809938678e-13,6.539882373177829e-11,6e-11
123,,1.605955809938678e-13,,6e-11
124,405.47827380135993,1.605955809938678e-13,6.511801896152e-11,5.884057971014e-11
125,,1.605955809938678e-13,,5.661835748792e-11
126,378.9878648401275,1.605955809938678e-13,6.086377634362572e-11,5.352657004831e-11
127,,1.605955809938678e-13,,5.352657004831e-11
128,363.3237479529334,1.605955809938678e-13,5.834818839137093e-11,4.917874396135e-11
129,,1.605955809938678e-13,,4.724637681159e-11
130,336.003266936056,1.605955809938678e-13,5.396063986943356e-11,4.724637681159e-11
131,,1.605955809938678e-13,,4.743961352657e-11
132,328.0270582476589,1.605955809938678e-13,5.26796960009921e-11,4.80193236715e-11
133,,1.605955809938678e-13,,4.80193236715e-11
134,326.00833921295157,1.605955809938678e-13,5.2355498644749896e-11,4.975845410628e-11
135,,1.605955809938678e-13,,4.975845410628e-11
136,298.2684095140194,1.605955809938678e-13,4.790058851802084e-11,4.975845410628e-11
137,,1.605955809938678e-13,,4.811594202899e-11
138,331.4561521166528,1.605955809938678e-13,5.323039332316568e-11,5.014492753623e-11
139,,1.605955809938678e-13,,4.917874396135e-11
140,318.0303477036031,1.605955809938678e-13,5.107426846314194e-11,4.917874396135e-11
141,,1.605955809938678e-13,,5.207729468599e-11
142,343.0108442847619,1.605955809938678e-13,5.508602582510846e-11,5.43961352657e-11
143,,1.605955809938678e-13,,5.43961352657e-11
144,360.85065405563944,1.605955809938678e-13,5.795102044008262e-11,5.574879227053e-11
145,,1.605955809938678e-13,,5.497584541063e-11
146,360.5300288382719,1.605955809938678e-13,5.7899529447018195e-11,5.497584541063e-11
147,,1.605955809938678e-13,,5.584541062802e-11
148,382.10094886635255,1.605955809938678e-13,6.136372388150007e-11,5.816425120773e-11
149,,1.605955809938678e-13,,5.816425120773e-11
150,388.29370795404935,1.605955809938678e-13,6.235825362514379e-11,5.661835748792e-11
151,,1.605955809938678e-13,,6.270531400966e-11
152,408.01487512312144,1.605955809938678e-13,6.552538592453811e-11,6.135265700483e-11
153,,1.605955809938678e-13,,6.135265700483e-11
154,423.66803169390175,1.605955809938678e-13,6.803921369841056e-11,6.792270531401e-11
155,,1.605955809938678e-13,,6.589371980676e-11
156,432.8541915219711,1.605955809938678e-13,6.951447037310188e-11,6.589371980676e-11
157,,1.605955809938678e-13,,6.502415458937e-11
158,453.2083408596451,1.605955809938678e-13,7.278325681162159e-11,7.004830917874e-11
159,,1.605955809938678e-13,,7.004830917874e-11
160,461.61923152309595,1.605955809938678e-13,7.413400868439437e-11,6.724637681159e-11
161,,1.605955809938678e-13,,7.101449275362e-11
162,478.9331824068358,1.605955809938678e-13,7.691455268586787e-11,7.111111111111e-11
163,,1.605955809938678e-13,,7.111111111111e-11
164,482.2088661576989,1.605955809938678e-13,7.744061302098989e-11,7.062801932367e-11
165,,1.605955809938678e-13,,6.792270531401e-11
166,507.15676403579056,1.605955809938678e-13,8.144713517529771e-11,6.792270531401e-11
167,,1.605955809938678e-13,,6.859903381643e-11
168,511.7705701760176,1.605955809938678e-13,8.218809205298054e-11,6.579710144928e-11
169,,1.605955809938678e-13,,6.579710144928e-11
170,505.57950249591937,1.605955809938678e-13,8.119383394192282e-11,6.734299516908e-11
171,,1.605955809938678e-13,,6.63768115942e-11
172,509.78027293622904,1.605955809938678e-13,8.18684591114062e-11,6.63768115942e-11
173,,1.605955809938678e-13,,6.695652173913e-11
174,498.77479397665394,1.605955809938678e-13,8.010102782377745e-11,6.492753623188e-11
175,,1.605955809938678e-13,,6.579710144928e-11
176,495.0999180517739,1.605955809938678e-13,7.951085898954098e-11,6.579710144928e-11
177,,1.605955809938678e-13,,6.521739130435e-11
178,486.55807028123104,1.605955809938678e-13,7.813907598406947e-11,6.48309178744e-11
179,,1.605955809938678e-13,,6.48309178744e-11
180,492.20513429948727,1.605955809938678e-13,7.90459695109909e-11,6.840579710145e-11
181,,1.605955809938678e-13,,6.966183574879e-11
182,516.5060451788247,1.605955809938678e-13,8.294858841233829e-11,6.966183574879e-11
183,,1.605955809938678e-13,,7.217391304348e-11
184,519.0687330355806,1.605955809938678e-13,8.336014475759994e-11,7.314009661836e-11
185,,1.605955809938678e-13,,7.314009661836e-11
186,550.9828794033008,1.605955809938678e-13,8.848541563544729e-11,7.816425120773e-11
187,,1.605955809938678e-13,,8.48309178744e-11
188,574.3186299116579,1.605955809938678e-13,9.223303404626485e-11,8.821256038647e-11
189,,1.605955809938678e-13,,8.821256038647e-11
190,612.6483395448004,1.605955809938678e-13,9.838861603412562e-11,9.178743961353e-11
191,,1.605955809938678e-13,,9.574879227053e-11
192,619.9943569839534,1.605955809938678e-13,9.956835397275747e-11,9.574879227053e-11
193,,1.605955809938678e-13,,9.420289855072e-11
194,667.897048641709,1.605955809938678e-13,1.0726131457070486e-10,9.806763285024e-11
195,,1.605955809938678e-13,,9.806763285024e-11
196,684.8360716614532,1.605955809938678e-13,1.0998164681402916e-10,9.632850241546e-11
197,,1.605955809938678e-13,,9.410628019324e-11
198,671.3390410129302,1.605955809938678e-13,1.0781408333533758e-10,9.410628019324e-11
199,,1.605955809938678e-13,,9.884057971014e-11
200,679.5414377809155,1.605955809938678e-13,1.0913135200983441e-10,9.6038647343e-11
201,,1.605955809938678e-13,,9.188405797101e-11
202,673.8199031292453,1.605955809938678e-13,1.0821249882827288e-10,9.188405797101e-11
203,,1.605955809938678e-13,,9.04347826087e-11
204,649.8893696222741,1.605955809938678e-13,1.0436936089622762e-10,8.782608695652e-11
205,,1.605955809938678e-13,,8.782608695652e-11
206,633.5211891510239,1.605955809938678e-13,1.0174070344363471e-10,8.647342995169e-11
207,,1.605955809938678e-13,,8.019323671498e-11
208,608.7778829254195,1.605955809938678e-13,9.776703780462458e-11,8.019323671498e-11
209,,1.605955809938678e-13,,7.739130434783e-11
210,598.0605682207166,1.605955809938678e-13,9.60458844229287e-11,7.381642512077e-11
211,,1.605955809938678e-13,,7.004830917874e-11
212,554.3836256465185,1.605955809938678e-13,8.903156045418954e-11,7.004830917874e-11
213,,1.605955809938678e-13,,6.531400966184e-11
214,505.3964676817978,1.605955809938678e-13,8.116443935960685e-11,6.734299516908e-11
215,,1.605955809938678e-13,,6.734299516908e-11
216,507.42083362887996,1.605955809938678e-13,8.148954358502272e-11,6.193236714976e-11
