tower_id,column_id,column_name,level_id,module_id,counter_in_module,counter_id,x_center_m,y_center_m,z_center_m,x_lo_m,x_hi_m,y_lo_m,y_hi_m,z_lo_m,z_hi_m
1,2,C2,4,11,8,88,3.4033,0.774,5.264,3.1408,3.6658,0.0,1.548,4.512,6.016
1,2,C2,5,12,1,89,3.4033,5.418,6.768,3.1408,3.6658,4.644,6.192,6.016,7.52
1,2,C2,5,12,2,90,3.1408,5.418,6.768,2.8782,3.4033,4.644,6.192,6.016,7.52
1,2,C2,5,12,3,91,3.4033,3.87,6.768,3.1408,3.6658,3.096,4.644,6.016,7.52
1,2,C2,5,12,4,92,3.1408,3.87,6.768,2.8782,3.4033,3.096,4.644,6.016,7.52
1,2,C2,5,12,5,93,3.4033,2.322,6.768,3.1408,3.6658,1.548,3.096,6.016,7.52
1,2,C2,5,12,6,94,3.1408,2.322,6.768,2.8782,3.4033,1.548,3.096,6.016,7.52
1,2,C2,5,12,7,95,3.1408,0.774,6.768,2.8782,3.4033,0.0,1.548,6.016,7.52
1,2,C2,5,12,8,96,3.4033,0.774,6.768,3.1408,3.6658,0.0,1.548,6.016,7.52
1,2,C2,6,13,1,97,3.4033,5.418,8.272,3.1408,3.6658,4.644,6.192,7.52,9.024
1,2,C2,6,13,2,98,3.1408,5.418,8.272,2.8782,3.4033,4.644,6.192,7.52,9.024
1,2,C2,6,13,3,99,3.4033,3.87,8.272,3.1408,3.6658,3.096,4.644,7.52,9.024
1,2,C2,6,13,4,100,3.1408,3.87,8.272,2.8782,3.4033,3.096,4.644,7.52,9.024
1,2,C2,6,13,5,101,3.4033,2.322,8.272,3.1408,3.6658,1.548,3.096,7.52,9.024
1,2,C2,6,13,6,102,3.1408,2.322,8.272,2.8782,3.4033,1.548,3.096,7.52,9.024
1,2,C2,6,13,7,103,3.1408,0.774,8.272,2.8782,3.4033,0.0,1.548,7.52,9.024
1,2,C2,6,13,8,104,3.4033,0.774,8.272,3.1408,3.6658,0.0,1.548,7.52,9.024
1,2,C2,7,14,1,105,3.4033,5.418,9.776,3.1408,3.6658,4.644,6.192,9.024,10.528
