bin_index,azimuth_lo_deg,azimuth_hi_deg,azimuth_center_deg,zenith_lo_deg,zenith_hi_deg,zenith_center_deg,slant_rock_m,intensity_raw,solid_angle_sr,fig7_lvd_azimuth_center_deg
172,61.3,68.9,65.1,28.0,32.0,30.0,3494.0,681.0,0.004629244548081363,337.9
173,68.9,76.6,72.75,28.0,32.0,30.0,3554.0,554.0,0.004690155660556104,330.25
174,76.6,84.3,80.44999999999999,28.0,32.0,30.0,3661.0,455.0,0.004690155660556113,322.55
175,84.3,91.9,88.1,28.0,32.0,30.0,3789.0,411.0,0.004629244548081363,314.9
176,91.9,99.6,95.75,28.0,32.0,30.0,3939.0,297.0,0.004690155660556104,307.25
177,99.6,107.2,103.4,28.0,32.0,30.0,4118.0,234.0,0.004629244548081363,299.6
178,107.2,114.9,111.05000000000001,28.0,32.0,30.0,4270.0,205.0,0.004690155660556113,291.95
179,114.9,122.6,118.75,28.0,32.0,30.0,4414.0,152.0,0.004690155660556104,284.25
180,122.6,130.2,126.39999999999999,28.0,32.0,30.0,4599.0,134.0,0.004629244548081354,276.6
181,130.2,137.9,134.05,28.0,32.0,30.0,4686.0,114.0,0.004690155660556122,268.95
182,137.9,145.5,141.7,28.0,32.0,30.0,4472.0,171.0,0.004629244548081354,261.3
183,145.5,153.2,149.35,28.0,32.0,30.0,4209.0,257.0,0.004690155660556104,253.65
184,153.2,160.9,157.05,28.0,32.0,30.0,3971.0,305.0,0.004690155660556122,245.95
185,160.9,168.5,164.7,28.0,32.0,30.0,3790.0,495.0,0.004629244548081354,238.3
186,168.5,176.2,172.35,28.0,32.0,30.0,3641.0,582.0,0.004690155660556104,230.65
187,176.2,183.8,180.0,28.0,32.0,30.0,3509.0,739.0,0.004629244548081371,223.0
188,183.8,191.5,187.65,28.0,32.0,30.0,3439.0,819.0,0.004690155660556104,215.35
189,191.5,199.1,195.3,28.0,32.0,30.0,3458.0,878.0,0.004629244548081354,207.7
190,199.1,206.8,202.95,28.0,32.0,30.0,3572.0,705.0,0.004690155660556122,200.05
191,206.8,214.5,210.65,28.0,32.0,30.0,3641.0,697.0,0.004690155660556104,192.35
192,214.5,222.1,218.3,28.0,32.0,30.0,3721.0,656.0,0.004629244548081354,184.7
193,222.1,229.8,225.95,28.0,32.0,30.0,3764.0,639.0,0.004690155660556122,177.05
194,229.8,237.4,233.60000000000002,28.0,32.0,30.0,3725.0,613.0,0.004629244548081354,169.39999999999998
195,237.4,245.1,241.25,28.0,32.0,30.0,3712.0,509.0,0.004690155660556104,161.75
196,245.1,252.8,248.95,28.0,32.0,30.0,3757.0,544.0,0.004690155660556122,154.05
